Mach;Cx0;Cya;B;B4;Omxmax;Aldop;Cymax
0.000000;0.015100;0.070000;0.134000;0.056700;0.500000;30.000000;1.100000
0.200000;0.015400;0.070000;0.134000;0.056000;1.500000;30.000000;1.100000
0.400000;0.015600;0.070000;0.129000;0.054900;2.500000;30.000000;1.100000
0.600000;0.016400;0.073000;0.120000;0.047400;3.500000;30.000000;1.100000
0.700000;0.017200;0.076000;0.105000;0.052000;3.500000;28.666667;1.091000
0.800000;0.020100;0.079000;0.110000;0.060700;3.500000;27.333333;1.082000
0.900000;0.028400;0.083000;0.139000;0.066600;3.500000;26.000000;1.073000
1.000000;0.038700;0.085000;0.174000;0.073000;3.500000;24.666667;1.064000
1.050000;0.041600;0.085500;0.196500;0.076850;3.500000;24.000000;1.060000
1.100000;0.044500;0.086000;0.219000;0.080700;3.150000;18.000000;1.040000
1.200000;0.046200;0.083000;0.300000;0.066000;2.450000;17.000000;1.020000
1.300000;0.045360;0.077000;0.344000;0.059400;1.750000;16.000000;1.000000
1.400000;0.043200;0.069500;0.393000;0.055300;1.625000;14.500000;0.950000
1.500000;0.042900;0.063625;0.450500;0.052100;1.500000;13.000000;0.900000
1.600000;0.042600;0.057750;0.508000;0.048900;1.200000;12.500000;0.800000
1.700000;0.041450;0.051875;0.615000;0.524450;0.900000;12.000000;0.700000
1.800000;0.040300;0.046000;0.722000;1.000000;0.860000;11.400000;0.640000
2.200000;0.037700;0.034000;1.000000;1.000000;0.700000;9.000000;0.400000
2.350000;0.037700;0.033000;1.000000;1.000000;0.700000;9.000000;0.400000
3.900000;0.037700;0.033000;1.000000;1.000000;0.700000;9.000000;0.400000
