Mach;Cx0;Cya;B;B4;Omxmax;Aldop;Cymax
0.000000;0.016500;0.070000;0.132000;0.025000;0.500000;30.000000;1.450000
0.200000;0.016500;0.070000;0.132000;0.025000;1.500000;30.000000;1.450000
0.400000;0.016500;0.070000;0.133000;0.028000;2.500000;30.000000;1.450000
0.600000;0.019600;0.073000;0.133000;0.032000;3.500000;30.000000;1.450000
0.700000;0.022800;0.076000;0.134000;0.034000;3.500000;28.666667;1.450000
0.800000;0.031400;0.079000;0.137000;0.036000;3.500000;27.333333;1.350000
0.900000;0.054200;0.083000;0.132700;0.042000;3.500000;26.000000;1.300000
1.000000;0.070700;0.085000;0.163400;0.100000;3.500000;24.666667;1.120000
1.050000;0.070000;0.085500;0.197500;0.095000;3.500000;24.000000;1.110000
1.100000;0.069900;0.086000;0.215000;0.090000;3.150000;18.000000;1.100000
1.200000;0.065200;0.083000;0.228000;0.120000;2.450000;17.000000;1.050000
1.300000;0.060500;0.077000;0.237000;0.170000;1.750000;16.000000;1.000000
1.490000;0.050000;0.062000;0.241000;0.200000;1.512500;13.150000;0.905000
1.500000;0.054200;0.061484;0.241000;0.205806;1.500000;13.000000;0.900000
1.700000;0.050000;0.051161;0.243548;0.321935;0.900000;12.000000;0.700000
1.800000;0.050000;0.046000;0.240000;0.380000;0.860000;11.400000;0.640000
2.000000;0.047100;0.039000;0.222000;2.500000;0.780000;10.200000;0.520000
2.200000;0.045500;0.034000;0.227000;3.200000;0.700000;9.000000;0.400000
2.500000;0.039000;0.033000;0.250000;4.500000;0.700000;9.000000;0.400000
3.900000;0.035000;0.033000;0.350000;6.000000;0.700000;9.000000;0.400000
