Mach;Cx0;Cya;B;B4;Omxmax;Aldop;Cymax
0.000000;0.016500;0.070000;0.100000;0.032000;0.500000;30.000000;1.600000
0.200000;0.016500;0.070000;0.100000;0.032000;1.500000;30.000000;1.566670
0.400000;0.016500;0.070000;0.100000;0.032000;2.500000;30.000000;1.533300
0.600000;0.016500;0.073000;0.094000;0.043000;3.500000;30.000000;1.500000
0.700000;0.017000;0.076000;0.094000;0.045000;3.500000;28.666700;1.433330
0.800000;0.017800;0.079000;0.094000;0.048000;3.500000;27.333300;1.366670
0.900000;0.021500;0.083000;0.110000;0.050000;3.500000;26.000000;1.300000
1.000000;0.031000;0.085000;0.150000;0.100000;3.500000;24.666700;1.233300
1.050000;0.036600;0.085500;0.150000;0.100000;3.500000;24.000000;1.200000
1.100000;0.042200;0.086000;0.150000;0.100000;3.150000;18.000000;1.100000
1.200000;0.044000;0.083000;0.140000;0.100000;2.450000;17.000000;1.050000
1.300000;0.043200;0.077000;0.170000;0.096000;1.750000;16.000000;1.000000
1.500000;0.042300;0.062000;0.230000;0.090000;1.500000;13.000000;0.900000
1.700000;0.041830;0.051300;0.230000;0.283300;0.900000;12.000000;0.700000
1.800000;0.041600;0.046000;0.230000;0.380000;0.860000;11.400000;0.640000
2.000000;0.041600;0.039000;0.080000;2.500000;0.780000;10.200000;0.520000
2.200000;0.041600;0.034000;0.160000;3.200000;0.700000;9.000000;0.400000
2.500000;0.041000;0.033000;0.250000;4.500000;0.700000;9.000000;0.400000
3.900000;0.039500;0.033000;0.350000;6.000000;0.700000;9.000000;0.400000
