Mach;Cx0;Cya;B;B4;Omxmax;Aldop;Cymax
0.000000;0.016500;0.055000;0.198000;0.220000;0.630000;25.000000;1.600000
0.200000;0.016500;0.055000;0.198000;0.220000;2.790000;25.000000;1.600000
0.400000;0.016500;0.055000;0.198000;0.220000;4.710000;25.000000;1.600000
0.600000;0.017500;0.055000;0.198000;0.280000;4.710000;25.000000;1.600000
0.700000;0.020000;0.055000;0.198000;0.280000;4.710000;23.000000;1.460000
0.800000;0.020000;0.055000;0.198000;0.280000;4.710000;21.700000;1.400000
0.900000;0.018400;0.058000;0.198000;0.200000;4.710000;20.100000;1.300000
1.000000;0.018000;0.062000;0.198000;0.150000;4.710000;18.900000;1.280000
1.100000;0.019000;0.062000;0.201000;0.090000;4.190000;17.400000;1.100000
1.200000;0.021000;0.062000;0.210000;0.080000;3.320000;17.000000;1.010000
1.300000;0.021000;0.060000;0.235000;0.100000;2.970000;16.000000;0.970000
1.400000;0.020500;0.056000;0.255000;0.136000;3.300000;15.000000;0.950000
1.600000;0.019000;0.052000;0.305000;0.210000;3.230000;13.000000;0.900000
1.800000;0.018600;0.042000;0.381000;2.430000;3.320000;12.000000;0.650000
2.000000;0.018600;0.040000;0.506000;2.500000;3.490000;10.500000;0.450000
2.200000;0.018600;0.037000;0.755000;3.500000;0.870000;10.000000;0.370000
2.500000;0.018000;0.033000;0.755000;4.700000;0.850000;9.000000;0.300000
3.900000;0.022000;0.023000;0.900000;6.000000;0.840000;7.000000;0.200000
